id,group_id,title,abbr
22418,483,Дискретная математика,ДМ
22419,483,Экономика,Экономика
22420,483,Структуры данных,СД
22421,488,Элективные дисциплины по физической культуре и спорту,ЭДпФКиС
22422,488,Введение в профиль,ВвП
22423,488,Базы данных,БД
22424,488,Дискретная математика,ДМ
22425,488,Экономика,Экономика
22426,488,Структуры данных,СД
23135,541,Финансовая математика,ФМ
23136,541,Финансовый менеджмент для инженеров,ФМДИ
23137,541,Методы принятия управленческих решений (ГПО-2),МПУР
23138,541,Теория принятия решения,ТПР
23139,541,Операционные системы,ОС
23140,541,"Электротехника, электроника и схемотехника",ЭЭиС
23141,541,Проблемно-ориентированные вычислительные системы,ПВС
23142,541,Метрология и технические измерения,МиТИ
23143,469,Элективные дисциплины по физической культуре и спорту,ЭДпФКиС
23144,469,Экономика,Экономика
23145,469,Объектно-ориентированное программирование,ОП
23146,469,Информационные технологии,ИТ
23147,469,Дискретная математика,ДМ
23148,469,Математическая логика и теория алгоритмов,МЛиТА
23149,473,Элективные дисциплины по физической культуре и спорту,ЭДпФКиС
23150,473,Экономика,Экономика
23151,473,Объектно-ориентированное программирование,ОП
23152,473,Информационные технологии,ИТ
23153,473,Дискретная математика,ДМ
23154,473,Математическая логика и теория алгоритмов,МЛиТА
23534,413,Анализ и обработка изображений (ГПО-2),АиОИ
23535,413,Учебно-исследовательская работа 2,УР
23536,413,Операционные системы,ОС
23537,413,Сети и телекоммуникации,СиТ
23538,413,Вычислительная математика,ВМ
23539,413,Базы данных,БД
23540,413,Менеджмент,Менеджмент
23541,414,Анализ и обработка изображений (ГПО-2),АиОИ
23542,414,Учебно-исследовательская работа 2,УР
23543,414,Операционные системы,ОС
