id,semester_id,course_id,name
21116,15,991,Теория распознавания образов / Имитационное моделирование и проектирование систем управления
21117,15,991,Научно-исследовательская работа (рассредоточенная)
21118,15,991,Информационные системы управления проектами / Системы управления предприятием (ERP-системы)
21119,15,990,Математические основы теории систем
21120,15,990,Компьютерные технологии управления в технических системах
21121,15,990,Методы и технологии документационного обеспечения управления / Автоматизация документирования технических решений
21122,15,990,Научно-исследовательская работа (рассредоточенная)
21123,15,992,Сети и телекоммуникации
21124,15,992,"Теория вероятностей, математическая статистика и случайные процессы"
21125,15,992,Методы оптимальных решений
21126,15,992,Теоретические основы механики / Механика
21127,15,992,Геометрическое моделирование / Геометрическое моделирование в САПР
21128,15,992,Искусственный интеллект **
21129,15,992,Программная инженерия и технология (ГПО-2)
21130,15,991,Структуры данных
21131,15,991,Информационная безопасность и защита информации в сетях ЭВМ
21132,15,991,Менеджмент в телекоммуникационных системах
21133,15,991,Философские основы естествознания/ Философия науки и техники (по выбору)
21134,15,991,Мобильные приложения / Разработка сетевых приложений (по выбору)
21135,15,991,Автоматизация конструкторского и технологического проектирования
21136,15,991,Современные проблемы информатики и вычислительной техники
21137,15,991,Полупроводниковые устройства СВЧ диапазона
21138,15,991,Автоматизация проектирования СВЧ интегральных схем и систем на кристалле
21139,15,991,Схемотехника СВЧ интегральных схем и систем на кристалле
21140,15,991,Построение приемо-передающих модулей на основе СВЧ интегральных схем и систем на кристалле/Радиотехнические системы на основе СВЧ интегральных схем/
21141,15,991,Математическое моделирование радиотехнических устройств и систем /Основы проектирования интегральных СВЧ антенн (по выбору)
21142,15,990,ЭВМ и периферийные устройства
21143,15,990,Технология разработки программного обеспечения
21144,15,990,Проектирование программных приложений
21145,15,990,Современные концепции организации баз данных
21146,15,990,Автоматизация проектировнаия систем и средств управления
21147,15,990,Физические и технологические основы микро и наноэлектроники
21148,15,990,"СВЧ цепи, элементы и модели"
21149,15,990,Автоматизация проектирования СВЧ интегральных схем и систем на кристалле
21150,15,990,Английский язык (по выбору)
21151,15,990,Французский язык (по выбору)
21152,15,992,"Электротехника, эектроника и схемотехнка"
21153,15,992,Экология
21154,15,992,Методы принятия управленческих решений (ГПО2)
21155,15,991,Объектно-оринтированное программирование
21156,15,991,Информационные технологии разработки информационных систем
21157,15,991,Теория систем и системный анализ
21158,15,991,Элективные дисциплины по физической культуре и спорту
21159,15,990,Программирование на языках высокого уровня
21160,16,1065,Безопасность жизнедеятельности
21161,16,1065,Правоведение
21162,16,1065,Управление финансами/Маркетинг/Основы менеджмента
21163,16,1065,Научно-исследовательская работа студентов -1/Научно-исследовательская работа студентов -2
21164,16,1065,Методы принятия проектных решений/Методы оптимальных решений
21165,16,1062,История
