id,week_id,training_id,plan_loading,loading
1810568,320,117457,0,0
1810569,321,117457,0,0
1810570,322,117457,0,0
1810571,323,117457,4,0
1810572,324,117457,0,0
1810573,325,117457,4,0
1810574,326,117457,0,0
1810575,327,117457,4,0
1810576,328,117457,0,0
1810577,329,117457,4,0
1810578,330,117457,0,0
1810579,331,117457,0,0
1810580,332,117457,0,0
1810581,313,117458,0,0
1810582,314,117458,2,0
1810583,315,117458,0,0
1810584,316,117458,2,0
1810585,317,117458,0,0
1810586,318,117458,2,0
1810587,319,117458,0,0
1810588,320,117458,2,0
1810589,321,117458,0,0
1810590,322,117458,2,0
1810591,323,117458,0,0
1810592,324,117458,2,0
1810593,325,117458,0,0
1810594,326,117458,2,0
1810595,327,117458,0,0
1810596,328,117458,2,0
1810597,329,117458,0,0
1810598,330,117458,2,0
1810599,331,117458,0,0
1810600,332,117458,0,0
1810601,313,117460,2,0
1810602,314,117460,2,0
1810603,315,117460,2,0
1810604,316,117460,2,0
1810605,317,117460,2,0
1810606,318,117460,2,0
1810607,319,117460,2,0
1810608,320,117460,2,0
1810609,321,117460,2,0
1810610,322,117460,2,0
1810611,323,117460,2,0
1810612,324,117460,2,0
1810613,325,117460,2,0
1810614,326,117460,2,0
1810615,327,117460,4,0
1810616,328,117460,2,0
1810617,329,117460,4,0
1810618,330,117460,2,0
1810619,331,117460,0,0
1810620,332,117460,0,0
1810621,313,117461,4,0
1810622,314,117461,4,0
1810623,315,117461,4,0
1810624,316,117461,4,0
1810625,317,117461,4,0
1810626,318,117461,4,0
1810627,319,117461,4,0
1810628,320,117461,4,0
1810629,321,117461,4,0
1810630,322,117461,4,0
1810631,323,117461,4,0
1810632,324,117461,4,0
1810633,325,117461,4,0
1810634,326,117461,4,0
1810635,327,117461,4,0
1810636,328,117461,4,0
1810637,329,117461,4,0
1810638,330,117461,4,0
1810639,331,117461,0,0
1810640,332,117461,0,0
1810641,313,117462,0,0
1810642,314,117462,2,0
1810643,315,117462,0,0
1810644,316,117462,2,0
1810645,317,117462,0,0
1810646,318,117462,2,0
1810647,319,117462,0,0
1810648,320,117462,2,0
1810649,321,117462,0,0
1810650,322,117462,2,0
1810651,323,117462,0,0
1810652,324,117462,2,0
1810653,325,117462,0,0
1810654,326,117462,2,0
1810655,327,117462,0,0
1810656,328,117462,2,0
1810657,329,117462,0,0
1810658,330,117462,2,0
1810659,331,117462,0,0
1810660,332,117462,0,0
1810661,313,117464,0,0
1810662,314,117464,0,0
1810663,315,117464,0,0
1810664,316,117464,0,0
1810665,317,117464,0,0
1810666,318,117464,0,0
1810667,319,117464,0,0
1810668,320,117464,0,0
1810669,321,117464,0,0
1810670,322,117464,2,0
1810671,323,117464,2,0
1810672,324,117464,2,0
1810673,325,117464,2,0
1810674,326,117464,2,0
1810675,327,117464,2,0
1810676,328,117464,2,0
1810677,329,117464,2,0
1810678,330,117464,2,0
1810679,331,117464,0,0
1810680,332,117464,0,0
1810681,313,117465,0,0
1810682,314,117465,0,0
1810683,315,117465,0,0
1810684,316,117465,0,0
1810685,317,117465,0,0
1810686,318,117465,0,0
1810687,319,117465,0,0
1810688,320,117465,0,0
1810689,321,117465,0,0
1810690,322,117465,4,0
1810691,323,117465,4,0
1810692,324,117465,4,0
1810693,325,117465,4,0
1810694,326,117465,4,0
1810695,327,117465,4,0
1810696,328,117465,4,0
1810697,329,117465,4,0
1810698,330,117465,4,0
1810699,331,117465,0,0
1810700,332,117465,0,0
1810701,313,117467,0,0
1810702,314,117467,0,0
1810703,315,117467,2,0
1810704,316,117467,2,0
1810705,317,117467,2,0
1810706,318,117467,2,0
1810707,319,117467,2,0
1810708,320,117467,2,0
1810709,321,117467,2,0
1810710,322,117467,0,0
1810711,323,117467,2,0
1810712,324,117467,0,0
1810713,325,117467,2,0
1810714,326,117467,0,0
1810715,327,117467,2,0
1810716,328,117467,0,0
1810717,329,117467,2,0
1810718,330,117467,0,0
1810719,331,117467,0,0
1810720,332,117467,0,0
1810721,313,117468,0,0
1810722,314,117468,0,0
1810723,315,117468,0,0
1810724,316,117468,4,0
1810725,317,117468,0,0
1810726,318,117468,4,0
1810727,319,117468,0,0
1810728,320,117468,4,0
1810729,321,117468,0,0
1810730,322,117468,4,0
1810731,323,117468,0,0
1810732,324,117468,4,0
1810733,325,117468,0,0
1810734,326,117468,4,0
1810735,327,117468,0,0
1810736,328,117468,4,0
1810737,329,117468,0,0
1810738,330,117468,4,0
1810739,331,117468,0,0
1810740,332,117468,0,0
1810741,313,117470,2,0
1810742,314,117470,2,0
1810743,315,117470,2,0
1810744,316,117470,2,0
1810745,317,117470,2,0
1810746,318,117470,2,0
1810747,319,117470,2,0
1810748,320,117470,2,0
1810749,321,117470,2,0
1810750,322,117470,2,0
1810751,323,117470,2,0
1810752,324,117470,2,0
1810753,325,117470,2,0
1810754,326,117470,2,0
1810755,327,117470,2,0
1810756,328,117470,2,0
1810757,329,117470,0,0
1810758,330,117470,0,0
1810759,331,117470,0,0
1810760,332,117470,0,0
1810761,313,117471,2,0
1810762,314,117471,2,0
1810763,315,117471,2,0
1810764,316,117471,2,0
1810765,317,117471,2,0
1810766,318,117471,2,0
1810767,319,117471,2,0
1810768,320,117471,2,0
1810769,321,117471,2,0
1810770,322,117471,4,0
1810771,323,117471,2,0
1810772,324,117471,4,0
1810773,325,117471,2,0
1810774,326,117471,4,0
1810775,327,117471,2,0
1810776,328,117471,4,0
1810777,329,117471,0,0
1810778,330,117471,0,0
1810779,331,117471,0,0
1810780,332,117471,0,0
1810781,313,117473,2,0
1810782,314,117473,2,0
1810783,315,117473,2,0
1810784,316,117473,2,0
1810785,317,117473,2,0
1810786,318,117473,2,0
1810787,319,117473,2,0
1810788,320,117473,2,0
1810789,321,117473,0,0
1810790,322,117473,0,0
1810791,323,117473,0,0
1810792,324,117473,0,0
1810793,325,117473,0,0
1810794,326,117473,0,0
1810795,327,117473,0,0
1810796,328,117473,0,0
1810797,329,117473,0,0
1810798,330,117473,0,0
1810799,331,117473,0,0
1810800,332,117473,0,0
1810801,313,117474,4,0
1810802,314,117474,4,0
1810803,315,117474,4,0
1810804,316,117474,4,0
1810805,317,117474,4,0
1810806,318,117474,4,0
1810807,319,117474,4,0
1810808,320,117474,4,0
1810809,321,117474,4,0
1810810,322,117474,0,0
1810811,323,117474,0,0
1810812,324,117474,0,0
1810813,325,117474,0,0
1810814,326,117474,0,0
1810815,327,117474,0,0
1810816,328,117474,0,0
1810817,329,117474,0,0
1810818,330,117474,0,0
1810819,331,117474,0,0
1810820,332,117474,0,0
1810821,313,117475,4,0
1810822,314,117475,4,0
1810823,315,117475,4,0
1810824,316,117475,4,0
1810825,317,117475,4,0
1810826,318,117475,4,0
1810827,319,117475,4,0
1810828,320,117475,4,0
1810829,321,117475,4,0
1810830,322,117475,4,0
1810831,323,117475,4,0
1810832,324,117475,4,0
1810833,325,117475,4,0
1810834,326,117475,4,0
1810835,327,117475,4,0
1810836,328,117475,4,0
1810837,329,117475,4,0
1810838,330,117475,4,0
1810839,331,117475,0,0
1810840,332,117475,0,0
1811601,313,117529,2,0
1811602,314,117529,4,0
1811603,315,117529,4,0
1811604,316,117529,4,0
1811605,317,117529,4,0
1811606,318,117529,4,0
1811607,319,117529,4,0
1811608,320,117529,4,0
1811609,321,117529,4,0
1811610,322,117529,4,0
1811611,323,117529,4,0
1811612,324,117529,4,0
1811613,325,117529,4,0
1811614,326,117529,4,0
1811615,327,117529,4,0
1811616,328,117529,4,0
1811617,329,117529,4,0
1811618,330,117529,4,0
1811619,331,117529,0,0
1811620,332,117529,0,0
1811621,313,117531,2,0
1811622,314,117531,2,0
1811623,315,117531,2,0
1811624,316,117531,2,0
1811625,317,117531,2,0
1811626,318,117531,2,0
1811627,319,117531,2,0
1811628,320,117531,2,0
1811629,321,117531,2,0
1811630,322,117531,0,0
1811631,323,117531,2,0
1811632,324,117531,0,0
1811633,325,117531,2,0
1811634,326,117531,0,0
1811635,327,117531,2,0
1811636,328,117531,0,0
1811637,329,117531,2,0
1811638,330,117531,0,0
1811639,331,117531,0,0
1811640,332,117531,0,0
1811641,313,117532,2,0
1811642,314,117532,4,0
1811643,315,117532,2,0
1811644,316,117532,4,0
1811645,317,117532,2,0
1811646,318,117532,4,0
